"date","ref","plate","duration_feeding","feedingRate"
2022-12-19,"k-m+_c1_6.1",1,6.8375,0.486201057540438
2022-11-03,"k-m-_c1_1.4",1,9.14972222222222,0.531356555623672
2022-11-07,"k+m+_m37_2.3",1,8.11861111111111,0.379428193917441
2022-11-09,"k-m+_w2_1.5",1,8.06416666666667,0.410900654278528
2022-12-06,"k+m+_w2_4.2",1,7.68388888888889,0.332451182260402
2022-12-11,"k+m+_c1_5.1",1,7.24888888888889,0.133492944116332
2022-12-12,"k+m+_c_1",1,NA,NA
2022-12-13,"k-m-_c1_4.4",1,6.845,0.21138988530041
2022-12-18,"k+m-_c_1",1,NA,NA
2022-12-19,"k+m-_m37_6.1",1,6.80944444444444,0.560338791758422
2022-11-03,"k+m-_c1_1.2",1,9.12111111111111,0.309427726782549
2022-11-07,"k+m+_c_1",1,NA,NA
2022-11-09,"k+m+_c_1",1,NA,NA
2022-12-06,"k+m-_c1_4.6",1,7.65555555555556,0.0512317007807739
2022-12-11,"k-m+_c_1",1,NA,NA
2022-12-12,"k-m-_c_1",1,NA,NA
2022-12-13,"k-m+_c1_4.5",1,6.81444444444444,-0.117460356931653
2022-12-18,"k-m+_c_1",1,NA,NA
2022-12-19,"k-m-_m37_6.1",1,6.78083333333333,0.283951988495258
2022-11-03,"k+m-_m37_1.3",1,9.09555555555556,0.134010305213942
2022-11-07,"k+m-_c1_2.5",1,8.09111111111111,0.0165159365983939
2022-11-09,"k-m-_c_1",1,NA,NA
2022-12-06,"k-m-_c1_4.3",1,7.63027777777778,0.0715624458573181
2022-12-11,"k-m-_c_1",1,NA,NA
2022-12-12,"k+m+_w2_6.1",1,7.2075,-0.0426939419587286
2022-12-13,"k-m+_w2_4.2",1,6.78444444444444,0.196819936721373
2022-12-18,"k+m+_m37_5.2",1,7.10361111111111,0.41479007952307
2022-12-19,"k-m+_c1_6.2",1,6.75138888888889,0.252204725694305
2022-11-03,"k-m-_w2_1.2",1,9.07305555555556,0.178775952203924
2022-11-07,"k-m+_m37_2.4",1,8.06055555555556,0.329110238040324
2022-11-09,"k+m-_c1_1.5",1,8.02694444444444,0.462272641799147
2022-12-06,"k+m+_c_1",1,NA,NA
2022-12-11,"k-m-_w2_5.1",1,NA,NA
2022-12-12,"k+m-_c_1",1,NA,NA
2022-12-13,"k-m+_c1_4.3",1,6.75194444444444,0.128868621040304
2022-12-18,"k+m+_c_1",1,NA,NA
2022-12-19,"k+m+_c1_6.2",1,6.71194444444444,0.239309481272339
2022-11-03,"k+m+_c_1",1,NA,NA
2022-11-07,"k+m+_m37_2.5",1,7.88305555555556,0.351244292735911
2022-11-09,"k+m+_c1_1.7",1,7.99055555555556,0.23730622727944
2022-12-06,"k+m+_c1_4.6",1,7.58805555555556,0.214625481490849
2022-12-11,"k+m+_w2_5.1",1,7.19777777777778,0.187445795167388
2022-12-12,"k-m-_w2_6.1",1,7.16027777777778,0.181107252166939
2022-12-13,"k-m-_w2_4.2",1,6.70972222222222,0.588930100773128
2022-12-18,"k+m+_m37_5.1",1,7.07194444444444,0.436563782528225
2022-12-19,"k+m+_c_1",1,NA,NA
2022-11-03,"k+m-_w2_1.1",1,9.04361111111111,0.134780029914468
2022-11-07,"k+m-_m37_2.4",1,NA,NA
2022-11-09,"k-m+_w2_1.1",1,7.86638888888889,0.0877058996973852
2022-12-11,"k+m-_m37_5.3",1,NA,NA
2022-12-12,"k-m+_m37_6.2",1,7.13333333333333,0.18528753239507
2022-12-13,"k+m-_c_1",1,NA,NA
2022-12-18,"k+m-_m37_5.2",1,7.03638888888889,0.0466003561496849
2022-12-19,"k-m+_m37_6.2",1,6.67833333333333,0.497788829188831
2022-11-03,"k+m-_c1_1.13",1,9.02111111111111,0.169868595570639
2022-11-07,"k+m-_w2_2.1",1,7.48055555555556,0.445072109373801
2022-11-09,"k-m-_c1_1.7",1,7.82888888888889,0.110575098889601
2022-12-06,"k+m-_w2_4.2",1,NA,NA
2022-12-11,"k+m-_w2_5.1",1,7.15,0.170356466970914
2022-12-12,"k-m-_m37_6.2",1,7.10638888888889,0.283437525467125
2022-12-13,"k-m+_w2_4.1",1,6.68666666666667,0.189558881813276
2022-12-18,"k-m+_m37_5.4",1,7.01333333333333,-0.0909549494420106
2022-12-19,"k+m-_c1_6.5",1,6.65138888888889,0.153024723122068
2022-11-03,"k-m-_c_1",1,NA,NA
2022-11-07,"k+m-_c1_2.6",1,7.80527777777778,0.357285737560288
2022-11-09,"k-m+_c_1",1,NA,NA
2022-12-06,"k-m+_w2_4.1",1,7.51805555555556,0.286595201442429
2022-12-11,"k+m-_c_1",1,NA,NA
2022-12-12,"k-m-_m37_6.1",1,7.06083333333333,0.517962628762399
2022-12-13,"k-m-_w2_4.1",1,6.65166666666667,0.461332695520358
2022-12-18,"k-m-_c_1",1,NA,NA
2022-12-19,"k+m-_c1_6.3",1,6.62138888888889,0.397049694354096
2022-11-03,"k+m+_w2_1.1",1,8.99444444444444,0.150699126370107
2022-11-07,"k-m-_c_1",1,NA,NA
2022-11-09,"k-m-_c1_1.4",1,7.79916666666667,0.342041893950337
2022-12-06,"k-m+_w2_4.3",1,7.49277777777778,0.136051063258983
2022-12-11,"k-m+_c1_5.2",1,NA,NA
2022-12-12,"k-m-_c1_6.4",1,NA,NA
2022-12-13,"k+m-_c1_4.1",1,6.62194444444444,0.253689430119077
2022-12-18,"k+m-_m37_5.3",1,6.98083333333333,-0.0808518241446129
2022-12-19,"k+m-_m37_6.2",1,6.59027777777778,0.38834990385413
2022-11-03,"k-m+_c_1",1,NA,NA
2022-11-07,"k+m-_m37_2.9",1,7.7825,0.196179685459631
2022-11-09,"k-m+_m37_1.2",1,7.76888888888889,0.0132700696409828
2022-12-06,"k-m+_c1_4.6",1,NA,NA
2022-12-11,"k-m+_m37_5.2",1,7.10472222222222,0.041604444645408
2022-12-12,"k+m-_m37_6.1",1,7.01888888888889,0.170551159821705
2022-12-13,"k+m+_c1_4.1",1,6.59388888888889,0.239253033694873
2022-12-18,"k-m-_w2_5.1",1,6.92833333333333,0.226106052507159
2022-12-19,"k-m+_c1_6.3",1,6.56694444444444,0.47439610751925
2022-11-03,"k+m-_c1_1.9",1,NA,NA
2022-11-07,"k+m+_m37_2.6",1,7.76,0.472540879100778
2022-11-09,"k+m+_w2_1.1",1,7.73305555555556,0.486674002059978
2022-12-06,"k-m-_w2_4.2",1,7.45222222222222,0.0328104760366004
2022-12-11,"k-m+_m37_5.3",1,7.08333333333333,0.0920272657195705
2022-12-12,"k-m+_c1_6.1",1,6.98638888888889,0.048525142551967
2022-12-13,"k+m+_c1_4.6",1,6.55555555555556,0.319912674379427
