"ref","plate_assay1","duration_feeding_assay1","feedingRate_assay1","body_assay1","spine_assay1","day_assay1","plate_assay2","duration_feeding_assay2","feedingRate_assay2","body_assay2","spine_assay2","day_assay2"
"k-m-_w2_2.1",2,6.40388888888889,0.159480429545835,1.2720267422,0.4622716688,7,NA,NA,NA,NA,NA,NA
"k+m+_c1_2.3",2,6.38361111111111,-0.132995952148014,1.2899429116,0.410802328,7,NA,NA,NA,NA,NA,NA
"k+m+_w2_1.3",3,8.61638888888889,0.196623149375856,NA,0.5355444331,8,2,6.87333333333333,0.53672285990451,1.4086701062,0.3440386566,14
"k-m+_c1_1.7",3,8.58583333333333,-0.0909845046265576,0.9752779326,0.4182666514,8,1,7.42222222222222,0.0782296719450374,1.277404354,0.4715793718,14
"k-m-_m37_1.2",3,8.55722222222222,-0.044584287954215,1.2289543112,0.4548637334,8,1,7.39305555555556,0.293605943586767,1.3758827448,0.3882441816,14
"k-m+_c1_1.10",3,8.53083333333333,0.280033496081683,0.8423258236,0.351471103,8,2,6.59194444444444,0.0554579851846411,1.2684039402,0.3383045558,14
"k-m-_m37_1.3",3,8.50638888888889,0.303869151923152,1.150558659,0.4329320018,8,2,7.02111111111111,0.440558827029175,1.3562786692,0.3891211166,14
"k-m+_c1_1.4",3,8.39833333333333,0.0225378168908738,0.9613769698,0.2707842438,8,1,7.64305555555556,0.0759693561465164,1.3587162564,0.4367706276,14
"k-m+_c1_1.5",3,8.36083333333333,0.159710626083352,1.1652340678,0.1008799608,8,2,7.48388888888889,0.395871478774932,1.47071207,0.153914348,14
"k+m-_c1_1.12",3,8.32527777777778,-0.172475830170539,1.2680977178,0.4629773316,8,NA,NA,NA,NA,NA,NA
"k+m-_c1_1.6",3,8.29861111111111,-0.28997226829865,0.9062107098,0.3190290546,8,2,6.80722222222222,0.269241912144379,1.2772453246,0.130210433,14
"k-m-_c1_1.11",3,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"k+m+_c1_1.7",3,8.26055555555556,0.332639452356293,1.1931819926,0.4346924504,8,1,7.99055555555556,0.23730622727944,NA,NA,14
"k-m-_c1_1.3",3,NA,NA,NA,NA,8,1,8.17416666666667,0.258157435965173,1.6120886732,0.5434965,14
"k-m+_c1_1.1",3,8.19527777777778,-0.0375480361998147,1.0216034178,0.327683241,8,2,7.4575,0.145107052819622,1.2595566122,0.4476290006,14
"k+m+_c1_1.11",3,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"k-m+_w2_1.4",3,8.15611111111111,0.190278047088253,0.9913703566,0.3493234822,8,2,6.71555555555556,0.0308628680764481,1.416833717,0.3809957328,14
"k+m+_w2_1.4",3,NA,NA,NA,NA,8,2,NA,NA,NA,NA,14
"k+m-_c1_1.10",3,8.09194444444444,0,0.978064846,0.402453729,8,2,7.40722222222222,0.0866986176567383,1.2910268312,0.4525882744,14
"k+m-_w2_1.2",3,8.04833333333333,-0.217363573613169,1.0378297252,0.3920649004,8,NA,NA,NA,NA,NA,NA
"k-m-_m37_1.1",3,8.01861111111111,0.0934863125729862,1.2043381298,0.4399138522,8,1,7.60166666666667,0.178413733783363,1.3174575124,0.3674508018,14
"k-m+_w2_1.3",3,7.9975,-0.140308834769525,1.0288321816,0.2825477712,8,2,6.95916666666667,0.248784285579521,1.2935009436,0.3724631362,14
"k+m+_m37_1.2",3,7.96694444444444,-0.0557952460705698,1.231373839,0.4297728768,8,1,8.09583333333333,0.28266586403975,1.4301775054,0.397003143,14
