"ref","date","variable","value_mean","n_obs","range","range_prop","check"
"k+m+_m37_5.3","2022-12-11","spine",0.4074552684,1,0,0,FALSE
"k+m+_m37_5.4","2022-12-11","body",0.9303783272,1,0,0,FALSE
"k+m+_m37_5.4","2022-12-11","spine",0.3114544444,1,0,0,FALSE
"k+m+_m37_6.2","2022-12-12","body",1.0896069394,2,0.0081515204,0.00748115683302154,FALSE
"k+m+_m37_6.2","2022-12-12","spine",0.4359888791,2,0.00809947579999998,0.0185772532013191,TRUE
"k+m+_m37_6.2","2022-12-19","body",1.2671412935,2,0.0060574174000001,0.00478038039725528,FALSE
"k+m+_m37_6.2","2022-12-19","spine",0.398450181,2,0.00780277839999993,0.0195828205684764,TRUE
"k+m+_w2_1.1","2022-11-03","body",1.0810950692,1,0,0,FALSE
"k+m+_w2_1.1","2022-11-03","spine",0.41399079,1,0,0,FALSE
"k+m+_w2_1.1","2022-11-09","body",1.3729048996,1,0,0,FALSE
"k+m+_w2_1.1","2022-11-09","spine",0.3288980976,1,0,0,FALSE
"k+m+_w2_1.3","2022-11-03","spine",0.5355444331,2,0.9469899018,1.76827512951325,TRUE
"k+m+_w2_1.3","2022-11-09","body",1.4086701062,1,0,0,FALSE
"k+m+_w2_1.3","2022-11-09","spine",0.3440386566,1,0,0,FALSE
"k+m+_w2_1.5","2022-11-03","body",1.103413973,1,0,0,FALSE
"k+m+_w2_1.5","2022-11-03","spine",0.3888484222,1,0,0,FALSE
"k+m+_w2_1.5","2022-11-09","body",1.4122009348,1,0,0,FALSE
"k+m+_w2_1.5","2022-11-09","spine",0.2687571714,1,0,0,FALSE
"k+m+_w2_2.2","2022-11-07","body",1.2879932584,1,0,0,FALSE
"k+m+_w2_2.2","2022-11-07","spine",0.3976023544,1,0,0,FALSE
"k+m+_w2_4","2022-11-09","body",1.1801373908,1,0,0,FALSE
"k+m+_w2_4","2022-11-09","spine",0.3120961754,1,0,0,FALSE
"k+m+_w2_4.1","2022-12-06","body",1.1263052531,2,0.00541012379999994,0.00480342587864997,FALSE
"k+m+_w2_4.1","2022-12-06","spine",0.3653567115,2,0.00293723059999995,0.00803935033228465,FALSE
"k+m+_w2_4.1","2022-12-13","body",1.4354409696,1,0,0,FALSE
"k+m+_w2_4.1","2022-12-13","spine",0.4623641502,1,0,0,FALSE
"k+m+_w2_4.2","2022-12-06","body",1.083951731,2,0.00358454959999999,0.00330692732663756,FALSE
"k+m+_w2_4.2","2022-12-06","spine",0.3951024991,2,0.000350189800000067,0.000886326461608724,FALSE
"k+m+_w2_4.2","2022-12-13","body",1.3421754462,1,0,0,FALSE
"k+m+_w2_4.2","2022-12-13","spine",0.0204409802,1,0,0,FALSE
"k+m+_w2_4.3","2022-12-06","body",0.8287616394,2,0.00333491839999989,0.00402397775362078,FALSE
"k+m+_w2_4.3","2022-12-06","spine",0.1969576071,2,0.00237578900000002,0.0120624383844884,TRUE
"k+m+_w2_5.1","2022-12-11","body",1.1650456252,1,0,0,FALSE
"k+m+_w2_5.1","2022-12-11","spine",0.4027621612,1,0,0,FALSE
"k+m+_w2_5.1","2022-12-18","body",1.5050858392,1,0,0,FALSE
"k+m+_w2_5.1","2022-12-18","spine",0.3988006248,1,0,0,FALSE
"k+m+_w2_6.1","2022-12-12","body",0.775157073,1,0,0,FALSE
"k+m+_w2_6.1","2022-12-12","spine",0.3589702244,1,0,0,FALSE
"k+m+_w2_6.1","2022-12-19","body",1.1003653634,1,0,0,FALSE
"k+m+_w2_6.1","2022-12-19","spine",0.3112424814,1,0,0,FALSE
"k+m-_c1_1.10","2022-11-03","body",0.978064846,1,0,0,FALSE
"k+m-_c1_1.10","2022-11-03","spine",0.402453729,1,0,0,FALSE
"k+m-_c1_1.10","2022-11-09","body",1.2910268312,1,0,0,FALSE
"k+m-_c1_1.10","2022-11-09","spine",0.4525882744,1,0,0,FALSE
"k+m-_c1_1.12","2022-11-03","body",1.2680977178,1,0,0,FALSE
"k+m-_c1_1.12","2022-11-03","spine",0.4629773316,1,0,0,FALSE
"k+m-_c1_1.13","2022-11-03","body",1.22125613,1,0,0,FALSE
"k+m-_c1_1.13","2022-11-03","spine",0.4148638388,1,0,0,FALSE
"k+m-_c1_1.13","2022-11-09","body",1.4252258008,1,0,0,FALSE
"k+m-_c1_1.13","2022-11-09","spine",0.4202153648,1,0,0,FALSE
