"ref","treatment","clone","kairomone","metsch","block","rep","fate","day_fate","infectionFate","day_infection","day_clutch1","r1"
"k-m-_w2_6.1","k-m-","w2",FALSE,FALSE,6,1,"alive",21,FALSE,NA,21,0.05231487
"k+m-_c1_6.1","k+m-","c1",TRUE,FALSE,6,1,"dead",7,FALSE,NA,NA,0
"k+m-_c1_6.2","k+m-","c1",TRUE,FALSE,6,2,"alive",21,FALSE,NA,21,0.06601402
"k+m-_c1_6.3","k+m-","c1",TRUE,FALSE,6,3,"alive",21,FALSE,NA,16,0.1184961
"k+m-_c1_6.4","k+m-","c1",TRUE,FALSE,6,4,"dead",2,FALSE,NA,NA,0
"k+m-_c1_6.5","k+m-","c1",TRUE,FALSE,6,5,"alive",21,FALSE,NA,16,0.10919221
"k+m-_m37_6.1","k+m-","m37",TRUE,FALSE,6,1,"alive",21,FALSE,NA,16,0.14360274
"k+m-_m37_6.2","k+m-","m37",TRUE,FALSE,6,2,"alive",21,FALSE,NA,16,0.12619801
"k+m-_w2_6.1","k+m-","w2",TRUE,FALSE,6,1,"alive",21,FALSE,NA,16,0.12669468
"k-m+_c1_6.1","k-m+","c1",FALSE,TRUE,6,1,"alive",21,FALSE,NA,21,0.10964691
"k-m+_c1_6.2","k-m+","c1",FALSE,TRUE,6,2,"alive",21,FALSE,NA,21,0.0766399
"k-m+_c1_6.3","k-m+","c1",FALSE,TRUE,6,3,"alive",21,FALSE,NA,16,0.09847316
"k-m+_c1_6.4","k-m+","c1",FALSE,TRUE,6,4,"alive",21,TRUE,21,17,0.08154673
"k-m+_c1_6.5","k-m+","c1",FALSE,TRUE,6,5,"dead",7,FALSE,NA,NA,0
"k-m+_m37_6.1","k-m+","m37",FALSE,TRUE,6,1,"alive",21,FALSE,NA,14,0.11767068
"k-m+_m37_6.2","k-m+","m37",FALSE,TRUE,6,2,"alive",21,FALSE,NA,16,0.09400394
"k-m+_w2_6.1","k-m+","w2",FALSE,TRUE,6,1,"alive",21,FALSE,NA,NA,0
"k+m+_c1_6.1","k+m+","c1",TRUE,TRUE,6,1,"dead",2,FALSE,NA,NA,0
"k+m+_c1_6.2","k+m+","c1",TRUE,TRUE,6,2,"alive",21,FALSE,NA,14,0.11235901
"k+m+_c1_6.3","k+m+","c1",TRUE,TRUE,6,3,"dead",5,FALSE,NA,NA,0
"k+m+_c1_6.4","k+m+","c1",TRUE,TRUE,6,4,"dead",5,FALSE,NA,NA,0
"k+m+_c1_6.5","k+m+","c1",TRUE,TRUE,6,5,"lost",2,FALSE,NA,NA,0
"k+m+_m37_6.1","k+m+","m37",TRUE,TRUE,6,1,"dead",2,FALSE,NA,NA,0
"k+m+_m37_6.2","k+m+","m37",TRUE,TRUE,6,2,"alive",21,FALSE,NA,21,0.05231487
"k+m+_w2_6.1","k+m+","w2",TRUE,TRUE,6,1,"alive",21,FALSE,NA,16,0.10919221
