"treatment","clone","kairomone","metsch","block","rep","ref","plate_assay1","duration_feeding_assay1","feedingRate_assay1","body_assay1","spine_assay1","day_assay1","plate_assay2","duration_feeding_assay2","feedingRate_assay2","body_assay2","spine_assay2","day_assay2","r1","fate","day_fate","infectionFate","day_infection"
"k+m-","m37","TRUE","FALSE","5","3","k+m-_m37_5.3"," 1",NA,NA,NA,NA," 7"," 1","6.980833","-0.08085182","1.4366321","0.39312426","14","0.11355998","alive","21","FALSE","NULL"
"k-m+","m37","FALSE","TRUE","6","2","k-m+_m37_6.2"," 1","7.133333"," 0.185287532","0.9230033","0.32664390"," 7"," 1","6.678333"," 0.49778883","1.3295652","0.35490277","14","0.09400394","alive","21","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","1","13","k+m-_c1_1.13"," 1","9.021111"," 0.169868596","1.2212561","0.41486384"," 8"," 1","7.474722"," 0.27367862","1.4252258","0.42021536","14","0.16238515","alive","21","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","2","1","k+m-_w2_2.1"," 1","7.480556"," 0.445072109","1.2474359","0.41108800"," 7",NA,NA,NA,NA,NA,NA,"0.17750216","alive","21","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","4","2","k+m-_w2_4.2"," 1",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","5","1","k+m-_w2_5.1"," 1","7.150000"," 0.170356467","1.2394868","0.43657477"," 7"," 1","7.344444"," 0.27127720","1.5602100","0.28055880","14","0.14478070","alive","21","FALSE","NULL"
"k-m-","m37","FALSE","FALSE","6","2","k-m-_m37_6.2"," 1","7.106389"," 0.283437525","0.9508739","0.39173285"," 7"," 1","6.933611"," 0.04973768","1.4155580","0.41279874","14","0.08532188","alive","21","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","2","6","k+m-_c1_2.6"," 1","7.805278"," 0.357285738","1.1487884",NA," 7",NA,NA,NA,NA,NA,NA,"0.13218080","alive","21","FALSE","NULL"
"k-m+","w2","FALSE","TRUE","4","1","k-m+_w2_4.1"," 1","7.518056"," 0.286595201","1.2182748","0.40443950"," 7"," 1","6.686667"," 0.18955888","1.5033977","0.24836026","14","0.15798098","alive","21","FALSE","NULL"
"k-m-","m37","FALSE","FALSE","6","1","k-m-_m37_6.1"," 1","7.060833"," 0.517962629","1.1415962","0.36178942"," 7"," 1","6.780833"," 0.28395199","1.4604998","0.41170416","14","0.09901781","alive","21","FALSE","NULL"
"k+m+","w2","TRUE","TRUE","1","1","k+m+_w2_1.1"," 1","8.994444"," 0.150699126","1.0810951","0.41399079"," 8"," 1","7.733056"," 0.48667400","1.3729049","0.32889810","14","0.11957374","alive","21","FALSE","NULL"
"k-m+","w2","FALSE","TRUE","4","3","k-m+_w2_4.3"," 1","7.492778"," 0.136051063","1.1775362","0.42439318"," 7"," 1","7.030833"," 0.01703381","1.3646358","0.26962550","14","0.08167490","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","5","2","k-m+_c1_5.2"," 1",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","6","4","k-m-_c1_6.4"," 1",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","2","9","k+m-_m37_2.9"," 1","7.782500"," 0.196179685","1.1062386","0.42441835"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","4","6","k-m+_c1_4.6"," 1",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k-m+","m37","FALSE","TRUE","5","2","k-m+_m37_5.2"," 1","7.104722"," 0.041604445","1.1509102","0.42598777"," 7"," 1","7.399722","-0.10130521","1.4550625","0.37846419","14","0.10259474","alive","21","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","6","1","k+m-_m37_6.1"," 1","7.018889"," 0.170551160","0.9147368","0.37085514"," 7"," 1","6.809444"," 0.56033879","1.3295658","0.43990732","14","0.14360274","alive","21","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","1","9","k+m-_c1_1.9"," 1",NA,NA,NA,NA," 8",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 8","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","2","6","k+m+_m37_2.6"," 1","7.760000"," 0.472540879","1.1531716","0.34395799"," 7",NA,NA,NA,NA,NA,NA,"0.14927598","lost","21","FALSE","NULL"
"k-m-","w2","FALSE","FALSE","4","2","k-m-_w2_4.2"," 1","7.452222"," 0.032810476","1.1957100","0.37789013"," 7"," 1","6.709722"," 0.58893010","1.4801063","0.41329249","14","0.15949986","alive","21","FALSE","NULL"
"k-m+","m37","FALSE","TRUE","5","3","k-m+_m37_5.3"," 1","7.083333"," 0.092027266","1.2443813","0.46776292"," 7"," 1","7.208889"," 0.30539243","1.4608449","0.45582990","14","0.09858842","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","6","1","k-m+_c1_6.1"," 1","6.986389"," 0.048525143","1.1101129","0.36082442"," 7"," 1","6.837500"," 0.48620106","1.4210498","0.29475654","14","0.10964691","alive","21","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","1","5","k+m-_w2_1.5"," 1","8.941944"," 0.095641584","0.9888541","0.37019735"," 8"," 1","8.304444"," 0.40396770","1.2593026","0.34499641","14","0.13811512","alive","21","FALSE","NULL"
"k-m-","m37","FALSE","FALSE","2","8","k-m-_m37_2.8"," 1","7.733056"," 0.259497289","1.1923050","0.38256004"," 7",NA,NA,NA,NA,NA,NA,"0.17491023","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","4","1","k-m+_c1_4.1"," 1","7.428889"," 0.085689600","0.8892630","0.32502174"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead","12","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","5","1","k-m-_c1_5.1"," 1","7.056111"," 0.017678540","0.9367170","0.36168030"," 7"," 1","7.164167"," 0.38306876","1.2826498","0.42226855","14","0.11849610","alive","21","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","6","2","k+m-_c1_6.2"," 1","6.952778"," 0.131193620","0.7973610","0.29576126"," 7"," 1","6.496944"," 0.21263894","1.3136764","0.35531961","14","0.06601402","alive","21","FALSE","NULL"
"k-m+","w2","FALSE","TRUE","1","1","k-m+_w2_1.1"," 1","8.916389","-0.118861394","0.8868073","0.33468650"," 8"," 1","7.866389"," 0.08770590","1.3883274","0.39381184","14","0.13441214","alive","21","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","4","3","k+m-_w2_4.3"," 1","7.389722"," 0.355039414","1.1575529","0.42008674"," 7"," 1","6.984444"," 0.28485294","1.4836511","0.07007885","14","0.17276384","alive","21","FALSE","NULL"
"k-m+","m37","FALSE","TRUE","5","1","k-m+_m37_5.1"," 1","7.036389"," 0.077989735","1.2118718","0.43917299"," 7"," 1","7.440000"," 0.25637114","1.4466871","0.39640147","14","0.09467282","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","6","3","k-m+_c1_6.3"," 1","6.926944"," 0.159761016","0.9709403","0.01411049"," 7"," 1","6.566944"," 0.47439611","1.3076086","0.01166795","14","0.09847316","alive","21","FALSE","NULL"
"k+m+","w2","TRUE","TRUE","1","5","k+m+_w2_1.5"," 1","8.892778","-0.134206387","1.1034140","0.38884842"," 8"," 1","7.369444"," 0.39037145","1.4122009","0.26875717","14","0.10624497","alive","21","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","2","7","k+m-_m37_2.7"," 1","8.032500"," 0.249211546","1.3040210","0.42436606"," 7",NA,NA,NA,NA,NA,NA,"0.18741845","alive","21","FALSE","NULL"
"k+m-","c1","TRUE","FALSE","4","1","k+m-_c1_4.1"," 1","7.365278"," 0.083762719","0.9203447","0.37380875"," 7"," 1","6.621944"," 0.25368943","1.3220428","0.43097140","14","0.11066954","alive","21","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","6","2","k+m+_m37_6.2"," 1","6.906667","-0.026896311","1.0896069","0.43598888"," 7"," 1","6.873333"," 0.05743765","1.2671413","0.39845018","14","0.05231487","alive","21","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","1","10","k+m+_c1_1.10"," 1","8.795000","-0.149822942","0.8780464","0.36833094"," 8"," 2","6.775556","-0.10600715",NA,NA,"14","0.13207660","alive","21","FALSE","NULL"
"k-m+","w2","FALSE","TRUE","2","1","k-m+_w2_2.1"," 1","8.008056"," 0.464593569","1.2282134","0.37150205"," 7",NA,NA,NA,NA,NA,NA,"0.18741845","alive","21","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","4","5","k+m+_c1_4.5"," 1",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k-m-","m37","FALSE","FALSE","5","4","k-m-_m37_5.4"," 1",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","6","4","k-m+_c1_6.4"," 1","6.881667"," 0.176353873","0.9064602","0.32518741"," 7"," 1","6.540556"," 0.19755467","1.3716231","0.38145303","14","0.08154673","alive","21","TRUE","21"
"k-m+","m37","FALSE","TRUE","1","3","k-m+_m37_1.3"," 1","8.759444"," 0.028721638","1.0720060","0.04428602"," 8"," 2","7.374444"," 0.11609519","1.1068472","0.07657033","14","0.12710312","alive","21","TRUE","21"
"k-m+","m37","FALSE","TRUE","2","6","k-m+_m37_2.6"," 1","7.707778"," 0.226504421","0.8765635","0.09207269"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","lost"," 7","FALSE","NULL"
"k+m-","w2","TRUE","FALSE","4","1","k+m-_w2_4.1"," 1","7.318056"," 0.154394651","1.1054920","0.25870129"," 7"," 1","6.953056"," 0.25925555","1.3963408","0.35526276","14","0.09447216","alive","21","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","5","3","k+m+_c1_5.3"," 1",NA,NA,NA,NA," 7",NA,NA,NA,NA,NA,NA,"0.00000000","dead"," 7","FALSE","NULL"
"k-m+","m37","FALSE","TRUE","6","1","k-m+_m37_6.1"," 1","6.862778"," 0.249108748","1.1202755","0.38360490"," 7"," 1","6.988889"," 0.35959139","1.4434896","0.37306705","14","0.11767068","alive","21","FALSE","NULL"
"k-m+","c1","FALSE","TRUE","2","1","k-m+_c1_2.1"," 1","7.683611"," 0.639795865","1.2611025","0.45155642"," 7",NA,NA,NA,NA,NA,NA,"0.19037863","alive","21","FALSE","NULL"
"k+m+","c1","TRUE","TRUE","4","1","k+m+_c1_4.1"," 1","7.289722","-0.054412576","0.8772436","0.30170711"," 7"," 1","6.593889"," 0.23925303","1.2785864","0.42689361","14","0.00000000","alive","21","FALSE","NULL"
"k+m+","m37","TRUE","TRUE","5","3","k+m+_m37_5.3"," 1","6.982500"," 0.241777114","1.1634083","0.40745527"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","lost"," 9","FALSE","NULL"
"k-m+","w2","FALSE","TRUE","6","1","k-m+_w2_6.1"," 1","6.830278"," 0.177680705","0.8301924","0.22815967"," 7"," 1","6.900833"," 0.19559295","0.9967012","0.28086639","14","0.00000000","alive","21","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","2","10","k-m-_c1_2.10"," 1","7.656389"," 0.356100244","1.2757166","0.40005236"," 7",NA,NA,NA,NA,NA,NA,"0.17228353","alive","21","FALSE","NULL"
"k+m+","w2","TRUE","TRUE","4","3","k+m+_w2_4.3"," 1","7.252500","-0.107296825","0.8287616","0.19695761"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","lost"," 7","FALSE","NULL"
"k-m-","m37","FALSE","FALSE","2","4","k-m-_m37_2.4"," 1","7.635000","-0.014799679","1.2069845","0.42412204"," 7",NA,NA,NA,NA,NA,NA,"0.18139616","alive","21","FALSE","NULL"
"k-m-","c1","FALSE","FALSE","4","4","k-m-_c1_4.4"," 1","7.197778","-0.170333575","0.6793466","0.20920923"," 7"," 1","6.845000"," 0.21138989","0.8089858","0.20131062","14","0.00000000","dead","16","FALSE","NULL"
"k-m+","w2","FALSE","TRUE","2","2","k-m+_w2_2.2"," 1","7.611389"," 0.408067879","1.2882129","0.25640833"," 7",NA,NA,NA,NA,NA,NA,"0.17999528","dead","21","FALSE","NULL"
"k-m-","m37","FALSE","FALSE","2","3","k-m-_m37_2.3"," 1","7.575278","-0.072951356","0.8095294","0.09704700"," 7",NA,NA,NA,NA,NA,NA,"0.00000000","alive","21","FALSE","NULL"
"k+m-","m37","TRUE","FALSE","2","1","k+m-_m37_2.1"," 1","7.531667"," 0.362523376","1.0670074","0.33767743"," 7",NA,NA,NA,NA,NA,NA,"0.13195119","alive","21","FALSE","NULL"
