"ref","r1","fate","day_fate","infectionFate","day_infection"
"k-m-_m37_2.1","0.0330070085980926","alive","21","FALSE","NULL"
"k-m-_m37_2.2","0","dead","21","FALSE","NULL"
"k-m-_m37_2.3","0","alive","21","FALSE","NULL"
"k-m-_m37_2.4","0.181396163566376","alive","21","FALSE","NULL"
"k-m-_m37_2.5","0.0940039399242671","alive","21","FALSE","NULL"
"k-m-_m37_2.6","0.134701885944373","alive","21","FALSE","NULL"
"k-m-_m37_2.7","0","lost","4","FALSE","NULL"
"k-m-_m37_2.8","0.174910230229536","alive","21","FALSE","NULL"
"k-m-_m37_2.9","0.148302914564568","alive","21","FALSE","NULL"
"k-m-_w2_2.1","0.198719528638624","alive","21","FALSE","NULL"
"k-m-_w2_2.2","0","dead","4","FALSE","NULL"
"k-m-_w2_2.3","0","stuck","3","FALSE","NULL"
"k+m-_c1_2.1","0","stuck","3","FALSE","NULL"
"k+m-_c1_2.2","0","alive","4","FALSE","NULL"
"k+m-_c1_2.3","0.193395766214297","alive","21","FALSE","NULL"
"k+m-_c1_2.4","0","dead","4","FALSE","NULL"
"k+m-_c1_2.5","0","alive","21","FALSE","NULL"
"k+m-_c1_2.6","0.132180798803552","alive","21","FALSE","NULL"
"k+m-_c1_2.7","0.150541946287196","alive","21","FALSE","NULL"
"k+m-_c1_2.8","0","dead","14","FALSE","NULL"
"k+m-_c1_2.9","0","alive","4","FALSE","NULL"
"k+m-_c1_2.10","0","stuck","3","FALSE","NULL"
"k+m-_m37_2.1","0.131951191869631","alive","21","FALSE","NULL"
"k+m-_m37_2.2","0","lost","17","FALSE","NULL"
"k+m-_m37_2.3","0.10510565882964","alive","21","FALSE","NULL"
"k+m-_m37_2.4","0.14273284339971","alive","21","FALSE","NULL"
"k+m-_m37_2.5","0.0815467271246994","alive","21","FALSE","NULL"
"k+m-_m37_2.6","0","dead","4","FALSE","NULL"
"k+m-_m37_2.7","0.187418454923783","alive","21","FALSE","NULL"
"k+m-_m37_2.8","0.145562935858679","alive","21","FALSE","NULL"
"k+m-_m37_2.9","0","dead","7","FALSE","NULL"
"k+m-_w2_2.1","0.177502157448581","alive","21","FALSE","NULL"
"k+m-_w2_2.2","0","alive","21","FALSE","NULL"
"k+m-_w2_2.3","0.132180798803552","alive","21","FALSE","NULL"
"k-m+_c1_2.1","0.190378629076991","alive","21","FALSE","NULL"
"k-m+_c1_2.2","0","missing","4","FALSE","NULL"
"k-m+_c1_2.3","0.105397615836944","alive","21","FALSE","NULL"
"k-m+_c1_2.4","0","alive","4","FALSE","NULL"
"k-m+_c1_2.5","0.154621989920694","alive","21","FALSE","NULL"
